@relation 'after_sic_and_firm-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.InterquartileRange-R1,2-O3.0-E6.0-E-as-O-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C4-Llast-weka.filters.unsupervised.attribute.Remove-R4-5-weka.filters.supervised.instance.SpreadSubsample-M0.0-X140.0-S1'

@attribute Tobins_Q numeric
@attribute Profitability numeric
@attribute class {AFTER_FIRM,AFTER_SIC}

@data
0.270267,0.479044,AFTER_SIC
0.302781,0.486468,AFTER_SIC
0.306011,0.486412,AFTER_SIC
0.310587,0.481517,AFTER_SIC
0.314984,0.472712,AFTER_SIC
0.311675,0.494794,AFTER_SIC
0.264753,0.479246,AFTER_SIC
0.317172,0.488707,AFTER_SIC
0.286296,0.480894,AFTER_SIC
0.285594,0.482844,AFTER_SIC
0.293136,0.481359,AFTER_SIC
0.309536,0.497255,AFTER_SIC
0.298058,0.482541,AFTER_SIC
0.300295,0.473799,AFTER_SIC
0.298884,0.450119,AFTER_SIC
0.311238,0.491923,AFTER_SIC
0.286844,0.488333,AFTER_SIC
0.318475,0.483443,AFTER_SIC
0.305746,0.479546,AFTER_SIC
0.319957,0.462834,AFTER_SIC
0.295782,0.485339,AFTER_SIC
0.311037,0.482606,AFTER_SIC
0.308245,0.490814,AFTER_SIC
0.283113,0.432884,AFTER_SIC
0.301075,0.490487,AFTER_SIC
0.272696,0.478551,AFTER_SIC
0.308067,0.498412,AFTER_SIC
0.27616,0.482086,AFTER_SIC
0.286278,0.461186,AFTER_SIC
0.307075,0.484432,AFTER_SIC
0.292065,0.490082,AFTER_SIC
0.27616,0.482086,AFTER_SIC
0.281072,0.490779,AFTER_SIC
0.30245,0.480558,AFTER_SIC
0.299028,0.48851,AFTER_SIC
0.278653,0.480204,AFTER_SIC
0.288613,0.47931,AFTER_SIC
0.316238,0.491983,AFTER_SIC
0.295813,0.486712,AFTER_SIC
0.279575,0.473037,AFTER_SIC
0.308997,0.48267,AFTER_SIC
0.235735,0.480575,AFTER_SIC
0.308377,0.498816,AFTER_SIC
0.297047,0.482754,AFTER_SIC
0.296851,0.493417,AFTER_SIC
0.307075,0.484432,AFTER_SIC
0.307075,0.484432,AFTER_SIC
0.315185,0.492074,AFTER_SIC
0.307926,0.492568,AFTER_SIC
0.30147,0.481369,AFTER_SIC
0.259831,0.476824,AFTER_SIC
