00252W104,-0.09330345,2.3984423E-4,-0.023684535,-0.0035971913,BEFORE
004724100,-0.0026191983,5.76153E-4,0.012201624,-7.3618337E-4,BEFORE
000973107,-0.106685005,-0.0017793804,-0.05963105,-0.009337666,BEFORE
00503U105,0.006010311,-0.0024559537,-0.07469678,0.0046118787,BEFORE
006847107,-0.18194003,0.0014307259,-0.1283,0.005000069,BEFORE
006848105,-0.008934132,5.6655943E-5,-0.11688002,0.0066199224,BEFORE
31865X106,-0.15483825,4.2321426E-5,-0.10333514,-0.00459771,BEFORE
008494106,-0.16424021,-0.005553748,0.053670447,-0.0014090051,BEFORE
009114109,0.017116716,0.0010250094,-0.012943472,0.006459401,BEFORE
019223106,0.0040465766,-0.0012462487,0.012607455,0.0019642499,BEFORE
019411107,-0.030089485,0.0054694517,-0.0126676215,-0.005850134,BEFORE
02146C104,0.03724569,-2.6482582E-4,0.0021567855,-9.27816E-4,BEFORE
625440102,0.002975019,-0.0056630117,-9.812543E-4,0.0064360653,BEFORE
625440102,0.002975019,-0.0056630117,-9.812543E-4,0.0064360653,BEFORE
023426703,0.05479763,-0.007673106,-0.009652989,-0.0053310087,BEFORE
023586100,0.001113815,-0.0011070684,-0.009889475,-0.005751776,BEFORE
90341W108,-0.018818557,-0.005249363,-0.024426255,-0.0017806148,BEFORE
024928103,-0.09991137,-0.003065869,-0.024284108,-7.8034506E-4,BEFORE
02553G101,0.011223235,-0.0036180024,-0.057843328,0.006690675,BEFORE
026496208,0.009140627,-8.942932E-4,-0.008580029,0.0066461684,BEFORE
026652107,-0.007399223,-0.0026723624,0.005249743,-0.0084372815,BEFORE
029318300,0.015192658,-0.0053049074,0.0019424217,0.0023120998,BEFORE
030789507,-0.015926097,-0.0027444703,0.00677354,1.5039423E-4,BEFORE
030789507,-0.015926097,-0.0027444703,0.00677354,1.5039423E-4,BEFORE
03237E108,0.0016329203,-0.0066048843,0.019567626,-0.0022584647,BEFORE
001813104,-0.0033245173,-2.5571298E-4,-0.015864985,0.009024021,BEFORE
03304B300,-0.015546118,-0.0033858859,-0.0020786014,0.0044066203,BEFORE
03304B300,-0.015546118,-0.0033858859,-0.0020786014,0.0044066203,BEFORE
03304B300,-0.015546118,-0.0033858859,-0.0020786014,0.0044066203,BEFORE
G6359F103,-0.015999595,-0.0011532317,-0.0051685995,-0.0068260655,BEFORE
381119106,-0.04435196,-1.812701E-4,-0.38140386,-3.626123E-4,BEFORE
038196101,0.018920975,-0.0015197963,0.012422715,-6.1856396E-4,BEFORE
038213104,0.012460036,7.253225E-4,0.025918841,-0.0013333836,BEFORE
